instance=HRC102, CXPB1=0.5, MUTPB1=0.2, MUTPB2=0.2
Algorithm took 23.72s

gen, min, max, mean, std
92, 10569.24307, 12558.92268, 10863.75018, 275.54187
93, 10515.22857, 11689.62120, 10817.55190, 220.32328
94, 10566.32942, 11909.92209, 10833.48120, 281.93486
95, 10486.71184, 45944.53621, 11128.28501, 3508.88749
96, 10486.71184, 227405.38955, 12934.51100, 21556.43764
97, 10486.71184, 11527.94836, 10738.26311, 224.91489
98, 10474.47233, 11696.14500, 10732.85238, 244.66104
99, 10474.47233, 12217.37278, 10671.08353, 226.16659
100, 10474.47233, 12806.50045, 10727.23485, 299.59544
101, 10444.35449, 12193.15113, 10685.54477, 296.15214
102, 10402.29867, 11731.58762, 10653.89042, 222.88393
103, 10394.85475, 157707.83777, 12138.34523, 14632.75009
104, 10365.91291, 188445.34674, 12382.12053, 17696.28990
105, 10365.91291, 12689.17689, 10624.28531, 287.95206
106, 10356.15923, 11641.62031, 10600.20132, 260.84643
107, 10356.15923, 11444.39420, 10626.53557, 260.02735
108, 10356.15923, 148596.35373, 12092.40765, 13831.16456
109, 10318.98471, 11414.38297, 10497.43536, 183.19277
110, 10318.98471, 11844.11922, 10525.75335, 263.33198
111, 10225.64054, 57673.34662, 11033.89436, 4695.35167
112, 10225.64054, 126234.76631, 11743.01630, 11522.16430
113, 10224.28732, 11377.08002, 10506.81319, 221.48213
114, 10203.19409, 11425.08555, 10506.24366, 275.20758
115, 10154.04753, 21866.47463, 10589.25813, 1168.97038
116, 10115.26720, 11088.18342, 10400.27220, 183.33319
117, 10142.32659, 11432.91467, 10395.55186, 247.67105
118, 10086.32472, 11674.37487, 10409.83632, 285.44249
119, 9994.81316, 11352.55619, 10346.18092, 226.49887
120, 10062.82803, 11240.16437, 10348.26314, 235.13552
121, 9983.18133, 40105.07446, 10583.00968, 2973.32766
122, 9983.18133, 11277.44448, 10318.96492, 239.92943
123, 9983.18133, 11400.58823, 10327.17593, 274.89972
124, 9937.15883, 11473.19674, 10300.62793, 289.26864
125, 9968.42648, 11280.82191, 10233.79502, 267.40947
126, 9904.43090, 182626.45806, 11970.70335, 17161.35623
127, 9793.49877, 11446.48077, 10219.52033, 285.78634
128, 9793.49877, 11016.32153, 10169.25500, 254.97635
129, 9793.49877, 11249.19271, 10117.05440, 251.96743
130, 9769.23045, 11018.99295, 10087.22781, 240.28389
131, 9769.23045, 11042.08428, 10070.43183, 242.72487
132, 9670.96054, 11198.40544, 10064.49116, 281.06889
133, 9670.96054, 10966.48666, 10014.62743, 197.97448
134, 9670.96054, 11347.12136, 10019.73079, 299.96203
135, 9686.15364, 183538.17485, 11996.09359, 17471.28814
136, 9720.29961, 11124.64876, 9952.85643, 274.79126
137, 9706.48739, 11146.78699, 9939.15182, 270.71093
138, 9696.03130, 11569.21211, 9919.21187, 299.82661
139, 9646.89011, 11150.80434, 9890.61089, 258.44958
140, 9614.44950, 95190.83632, 10893.30855, 8587.21541
141, 9642.39631, 10970.87848, 9918.95816, 294.05417
142, 9599.25640, 11256.36755, 9883.42503, 268.55519
143, 9577.24260, 36619.56026, 10103.47622, 2671.55902
144, 9557.84029, 11211.43740, 9850.60386, 252.08282
145, 9542.98613, 10881.33927, 9810.01252, 240.98808
146, 9553.61949, 10952.55366, 9767.40563, 268.69164
147, 9512.20338, 11199.93066, 9853.80120, 323.55331
148, 9512.20338, 11059.80796, 9745.86796, 257.98926
149, 9512.20338, 10745.34267, 9738.28107, 256.95219
150, 9512.20338, 40592.31212, 10027.53812, 3081.85168
151, 9512.20338, 10947.00080, 9766.44338, 315.66006
152, 9512.20338, 11015.31022, 9692.51713, 245.60824
